,'Or33b-47a','Or45a','Or83a','Or35a','Or42a','Or59a','Or1a','Or45b','Or63a','Or24a','Or67b','Or85c','Or13a','Or30a','Or82a','Or22c','Or42b','Or33a','Or49a','Or74a','Or94a-94b'
'1-pentanol',-3.15457967,-2.499814937,NaN,-6.008843332,NaN,NaN,NaN,NaN,NaN,NaN,-4.480805816,NaN,-4.250095967,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
'3-pentanol',-3.753607764,-3.84765107,NaN,NaN,-5.329145681,-3.369513325,NaN,-3.340544701,NaN,-4.216564269,-3.071791845,-3.668515944,-3.17985896,NaN,NaN,-3.305081842,-2.814762081,NaN,NaN,NaN,-3.341858837
'6-methyl-5-hepten-2-ol',NaN,-3.557136998,NaN,-4.800083287,NaN,NaN,-3.979504397,NaN,NaN,NaN,NaN,-6.025989224,-5.522888143,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
'3-octanol',-4.984526732,-4.25416779,NaN,-4.165441415,NaN,NaN,-3.420020269,NaN,NaN,-2.809471161,-3.303376691,-7.441378989,-6.244441905,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
'trans-3-hexen-1-ol',-3.925921491,-3.798582754,NaN,-6.240912377,-3.809437085,NaN,NaN,NaN,NaN,NaN,-4.693622383,-2.941084019,-4.416491213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
'methyl phenyl sulfide',NaN,NaN,NaN,NaN,NaN,-3.209285943,-3.822533945,-5.921416157,NaN,-7.501067731,-4.63960799,NaN,NaN,-5.463927112,NaN,-6.357123772,NaN,NaN,NaN,NaN,NaN
'anisole',-3.291356939,-3.05496045,NaN,-2.891865198,NaN,-4.148984473,-3.222653566,-4.647488928,NaN,-5.895341808,-3.162780731,NaN,NaN,-5.001139443,NaN,-4.456953975,NaN,NaN,NaN,NaN,-3.71468978
'2-acetylpyridine',-3.51695513,NaN,NaN,-3.779036494,NaN,-4.359199963,NaN,-4.466942846,NaN,-7.531352621,NaN,NaN,NaN,NaN,NaN,-4.329262008,NaN,NaN,NaN,NaN,NaN
"'2,5-dimethylpyrazine'",NaN,-2.989355591,NaN,NaN,NaN,-4.176229085,NaN,-3.100668278,NaN,NaN,NaN,NaN,NaN,-3.482697121,NaN,-3.201316387,-3.196104602,NaN,NaN,NaN,-3.64698207
'pentyl acetate',-6.085328571,-4.933988268,NaN,-6.101084333,-2.801454097,NaN,-5.14142775,NaN,NaN,-4.90175911,-4.999148961,-6.099186612,-5.3536095,NaN,-3.580366954,-3.698431392,-2.655797082,NaN,NaN,NaN,NaN
'geranyl acetate',NaN,-5.818581149,NaN,NaN,NaN,NaN,-2.696049702,NaN,NaN,-4.006400293,NaN,NaN,NaN,NaN,-6.856392473,NaN,-3.19171547,NaN,NaN,NaN,NaN
'2-methoxyphenyl acetate',-3.892041939,NaN,NaN,NaN,NaN,-4.895553299,NaN,-3.945255234,NaN,-3.853010785,NaN,-2.915740164,NaN,NaN,NaN,-3.071852455,NaN,NaN,NaN,NaN,-4.878244513
"'trans,trans-2,4-nonadienal'",NaN,-5.837013389,NaN,-4.726856056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.464388626,-3.789892397,NaN,NaN,NaN,NaN,NaN,NaN,-6.540326129,NaN
