ORN,Exp_ID,Odor,Concentration,DF/F
Or22c,20180522_101_L,methyl salicylate,1.00E-11,0.528362717
Or22c,20180522_101_L,methyl salicylate,1.00E-10,0.557384374
Or22c,20180522_101_L,methyl salicylate,1.00E-09,3.577610733
Or22c,20180522_101_L,methyl salicylate,1.00E-08,5.211652781
Or22c,20180522_101_L,methyl salicylate,1.00E-07,5.898517526
Or22c,20180522_101_R,methyl salicylate,1.00E-11,0.101782387
Or22c,20180522_101_R,methyl salicylate,1.00E-10,0.16982418
Or22c,20180522_101_R,methyl salicylate,1.00E-09,1.27187038
Or22c,20180522_101_R,methyl salicylate,1.00E-08,5.191671201
Or22c,20180522_101_R,methyl salicylate,1.00E-07,5.209027904
Or22c,20180522_201_L,methyl salicylate,1.00E-11,0.163262441
Or22c,20180522_201_L,methyl salicylate,1.00E-10,0.300191676
Or22c,20180522_201_L,methyl salicylate,1.00E-09,3.599053941
Or22c,20180522_201_L,methyl salicylate,1.00E-08,5.090503027
Or22c,20180522_201_L,methyl salicylate,1.00E-07,5.195056543
Or22c,20180522_201_R,methyl salicylate,1.00E-11,0.138902425
Or22c,20180522_201_R,methyl salicylate,1.00E-10,0.256393731
Or22c,20180522_201_R,methyl salicylate,1.00E-09,2.357215839
Or22c,20180522_201_R,methyl salicylate,1.00E-08,5.832282776
Or22c,20180522_201_R,methyl salicylate,1.00E-07,5.725169548
Or22c,20180522_301_L,methyl salicylate,1.00E-11,0.001453622
Or22c,20180522_301_L,methyl salicylate,1.00E-10,0.039460749
Or22c,20180522_301_L,methyl salicylate,1.00E-09,1.124838727
Or22c,20180522_301_L,methyl salicylate,1.00E-08,4.727306665
Or22c,20180522_301_L,methyl salicylate,1.00E-07,4.720774654
Or22c,20180522_301_R,methyl salicylate,1.00E-11,0.081214879
Or22c,20180522_301_R,methyl salicylate,1.00E-10,0.058946101
Or22c,20180522_301_R,methyl salicylate,1.00E-09,0.899617858
Or22c,20180522_301_R,methyl salicylate,1.00E-08,5.513861662
Or22c,20180522_301_R,methyl salicylate,1.00E-07,5.460770301
Or22c,20180522_401_L,methyl salicylate,1.00E-11,0.158442437
Or22c,20180522_401_L,methyl salicylate,1.00E-10,0.163754169
Or22c,20180522_401_L,methyl salicylate,1.00E-09,1.395857216
Or22c,20180522_401_L,methyl salicylate,1.00E-08,3.035415301
Or22c,20180522_401_L,methyl salicylate,1.00E-07,2.532296932
Or22c,20180522_401_R,methyl salicylate,1.00E-11,0.144531996
Or22c,20180522_401_R,methyl salicylate,1.00E-10,0.319183382
Or22c,20180522_401_R,methyl salicylate,1.00E-09,1.327202171
Or22c,20180522_401_R,methyl salicylate,1.00E-08,4.794203256
Or22c,20180522_401_R,methyl salicylate,1.00E-07,4.406269376
Or22c,20180522_501_L,methyl salicylate,1.00E-11,0.112926188
Or22c,20180522_501_L,methyl salicylate,1.00E-10,0.170695867
Or22c,20180522_501_L,methyl salicylate,1.00E-09,1.188011889
Or22c,20180522_501_L,methyl salicylate,1.00E-08,4.362522921
Or22c,20180522_501_L,methyl salicylate,1.00E-07,4.290797605
Or22c,20180522_501_R,methyl salicylate,1.00E-11,0.042030762
Or22c,20180522_501_R,methyl salicylate,1.00E-10,-0.016782425
Or22c,20180522_501_R,methyl salicylate,1.00E-09,0.00762781
Or22c,20180522_501_R,methyl salicylate,1.00E-08,0.944034492
Or22c,20180522_501_R,methyl salicylate,1.00E-07,4.093726499
Or22c,20180522_601_L,methyl salicylate,1.00E-11,0.145080415
Or22c,20180522_601_L,methyl salicylate,1.00E-10,0.279855674
Or22c,20180522_601_L,methyl salicylate,1.00E-09,1.420725699
Or22c,20180522_601_L,methyl salicylate,1.00E-08,3.796204539
Or22c,20180522_601_L,methyl salicylate,1.00E-07,3.732010051
Or22c,20180522_601_R,methyl salicylate,1.00E-11,0.156447349
Or22c,20180522_601_R,methyl salicylate,1.00E-10,0.187997936
Or22c,20180522_601_R,methyl salicylate,1.00E-09,0.995789281
Or22c,20180522_601_R,methyl salicylate,1.00E-08,4.731222012
Or22c,20180522_601_R,methyl salicylate,1.00E-07,4.558986988
Or85c,20180522_101_L,2-heptanone,1.00E-11,0.098351457
Or85c,20180522_101_L,2-heptanone,1.00E-10,0.342572504
Or85c,20180522_101_L,2-heptanone,1.00E-09,2.405472246
Or85c,20180522_101_L,2-heptanone,1.00E-08,4.493337751
Or85c,20180522_101_L,2-heptanone,1.00E-07,4.576319863
Or85c,20180522_101_R,2-heptanone,1.00E-11,0
Or85c,20180522_101_R,2-heptanone,1.00E-10,0.15460741
Or85c,20180522_101_R,2-heptanone,1.00E-09,1.315683287
Or85c,20180522_101_R,2-heptanone,1.00E-08,2.052453831
Or85c,20180522_101_R,2-heptanone,1.00E-07,1.993943869
Or85c,20180522_201_L,2-heptanone,1.00E-11,0
Or85c,20180522_201_L,2-heptanone,1.00E-10,0.232157994
Or85c,20180522_201_L,2-heptanone,1.00E-09,1.948842358
Or85c,20180522_201_L,2-heptanone,1.00E-08,4.10462906
Or85c,20180522_201_L,2-heptanone,1.00E-07,3.658674125
Or85c,20180522_201_R,2-heptanone,1.00E-11,0
Or85c,20180522_201_R,2-heptanone,1.00E-10,0.20886399
Or85c,20180522_201_R,2-heptanone,1.00E-09,0.72705597
Or85c,20180522_201_R,2-heptanone,1.00E-08,1.59640561
Or85c,20180522_201_R,2-heptanone,1.00E-07,1.974301898
Or85c,20180522_301_L,2-heptanone,1.00E-11,0
Or85c,20180522_301_L,2-heptanone,1.00E-10,0.19433242
Or85c,20180522_301_L,2-heptanone,1.00E-09,1.901196697
Or85c,20180522_301_L,2-heptanone,1.00E-08,2.979604145
Or85c,20180522_301_L,2-heptanone,1.00E-07,3.03995778
